    R         0      1634.242  61190.44               --     1.26E-07  2.99E-21
    R         1      1634.212  61191.58  61191.29*  -0.29    6.32E-08  1.49E-21
    R         2      1634.217  61191.37  61191.29*  -0.08    5.06E-08  1.19E-21
    R         3      1634.259  61189.81  61189.53   -0.28    4.51E-08  1.07E-21
    R         4      1634.337  61186.9   61186.58   -0.32    4.21E-08  9.96E-22
    R         5      1634.451  61182.64  61182.37   -0.27    3.99E-08  9.44E-22
    R         6      1634.601  61177.02  61176.76   -0.26    3.82E-08  9.04E-22
    R         7      1634.787  61170.05  61169.80   -0.25    2.55E-08  6.05E-22
    R         8      1635.009  61161.73  61161.51   -0.22    2.61E-08  6.18E-22
    R         9      1635.268  61152.05  61151.86   -0.19    2.65E-08  6.29E-22
    R         10     1635.563  61141.03  61140.82   -0.21    2.65E-08  6.28E-22
    R         11     1635.894  61128.65  61128.50   -0.15    2.68E-08  6.35E-22
    R         12     1636.262  61114.91  61114.80   -0.11    2.70E-08  6.42E-22
    R         13     1636.666  61099.83  61099.72   -0.11    2.72E-08  6.48E-22
    R         14     1637.106  61083.39  61083.27   -0.12    2.74E-08  6.53E-22
    R         15     1637.583  61065.59  61065.48   -0.11    2.76E-08  6.56E-22
    R         16     1638.097  61046.44  61046.42   -0.02    2.76E-08  6.57E-22
    R         17     1638.647  61025.94  61025.96    0.02    2.77E-08  6.61E-22
    R         18     1639.235  61004.08  61004.10    0.02    2.73E-08  6.53E-22
    R         19     1639.859  60980.87  60980.96    0.09    2.74E-08  6.55E-22
    R         20     1640.52   60956.3   60956.41    0.11    2.73E-08  6.53E-22
    P         2      1634.55   61178.9   61178.44*  -0.46    1.26E-08  2.99E-22
    P         3      1634.725  61172.36  61172.01   -0.35    1.80E-08  4.27E-22
    P         4      1634.936  61164.46  61164.19   -0.27    2.10E-08  4.98E-22
    P         5      1635.184  61155.21  61154.89   -0.32    2.30E-08  5.43E-22
    P         6      1635.467  61144.61  61144.29   -0.32    2.43E-08  5.74E-22
    P         7      1635.787  61132.66  61132.45   -0.21    2.51E-08  5.93E-22
    P         8      1636.143  61119.36  61119.13   -0.23    2.55E-08  6.05E-22
    P         9      1636.535  61104.71  61104.47   -0.24    2.61E-08  6.18E-22
    P         10     1636.964  61088.71  61088.54   -0.17    2.65E-08  6.29E-22
    P         11     1637.429  61071.36  61071.20   -0.16    2.65E-08  6.28E-22
    P         12     1637.93   61052.66  61052.45   -0.19    2.68E-08  6.35E-22
    P         13     1638.468  61032.62  61032.40   -0.22    2.70E-08  6.42E-22
    P         14     1639.043  61011.22  61011.07   -0.15    2.72E-08  6.48E-22
    P         15     1639.654  60988.47  60988.31   -0.16    2.74E-08  6.53E-22
    P         16     1640.302  60964.37  60964.24   -0.13    2.76E-08  6.56E-22
    P         17     1640.987  60938.92  60938.82    -0.1    2.76E-08  6.57E-22
    P         18     1641.709  60912.13  60912.05   -0.08    2.77E-08  6.61E-22
    P         19     1642.468  60883.98  60883.97   -0.01    2.73E-08  6.53E-22
    P         20     1643.264  60854.49  60854.43   -0.06    2.74E-08  6.55E-22
    Q         1      1634.395  61184.73  61184.28   -0.45    4.94E-08  1.17E-21
    Q         2      1634.528  61179.74  61179.21   -0.53    4.29E-08  1.02E-21
    Q         3      1634.701  61173.28  61172.77   -0.51    4.07E-08  9.61E-22
    Q         4      1634.91   61165.44  61164.89   -0.55    3.80E-08  8.99E-22
    Q         5      1635.157  61156.22  61155.66   -0.56    3.71E-08  8.78E-22
    Q         6      1635.439  61145.65  61145.13   -0.52    3.56E-08  8.42E-22
    Q         7      1635.759  61133.71  61133.18   -0.53    3.54E-08  8.37E-22
    Q         8      1636.114  61120.43  61119.92   -0.51    3.44E-08  8.14E-22
    Q         9      1636.506  61105.79  61105.26   -0.53    3.43E-08  8.14E-22
    Q         10     1636.935  61089.8   61089.20    -0.6    3.37E-08  8.00E-22
    Q         11     1637.399  61072.45  61071.94   -0.49    3.30E-08  7.82E-22
    Q         12     1637.901  61053.76  61053.24   -0.52    3.22E-08  7.64E-22
    Q         13     1638.439  61033.72  61033.28   -0.44    3.21E-08  7.61E-22
    Q         14     1639.013  61012.32  61011.89   -0.56    3.21E-08  7.64E-22
    Q         15     1639.624  60989.58  60989.17   -0.41    3.18E-08  7.57E-22
    Q         16     1640.272  60965.48  60965.12   -0.36    3.13E-08  7.45E-22
    Q         17     1640.957  60940.04  60939.74    -0.3    3.08E-08  7.35E-22
    Q         18     1641.679  60913.24  60912.96   -0.28    3.05E-08  7.28E-22
    Q         19     1642.438  60885.1   60884.80    -0.3    3.02E-08  7.21E-22
    Q         20     1643.234  60855.61  60855.37   -0.24    3.01E-08  7.20E-22
    Q         1      1634.166  61193.29 61192.50*   -0.79    1.40E-08  3.31E-22
    Q         2      1634.177  61192.88 61192.50*    0.38    2.04E-08  4.83E-22
    Q         3      1634.221  61191.23     --        --     2.31E-08  5.45E-22
    Q         4       1634.3   61188.26  61187.85   -0.41    2.57E-08  6.07E-22
    Q         5      1634.415  61183.96  61183.55   -0.41    2.66E-08  6.28E-22
    Q         6      1634.566  61178.32  61177.93*  -0.39    2.69E-08  6.37E-22
    Q         7      1634.753  61171.34  61170.96   -0.38    2.77E-08  6.56E-22
    Q         8      1634.975  61163.01  61162.70   -0.31    2.82E-08  6.69E-22
    Q         9      1635.234  61153.32  61153.07   -0.25    2.82E-08  6.69E-22
    Q         10     1635.529  61142.29  61142.04   -0.25    2.89E-08  6.85E-22
    Q         11     1635.861  61129.9   61129.69   -0.21    2.89E-08  6.87E-22
    Q         12     1636.228  61116.16  61115.96    -0.2    2.89E-08  6.87E-22
    Q         13     1636.632  61101.07  61100.93   -0.14    2.89E-08  6.87E-22
    Q         14     1637.073  61084.63  61084.52   -0.11    2.86E-08  6.80E-22
    Q         15     1637.55   61066.83  61066.77   -0.06    2.86E-08  6.80E-22
    Q         16     1638.064  61047.68  61047.66   -0.02    2.85E-08  6.80E-22
    Q         17     1638.614  61027.18  61027.24    0.06    2.85E-08  6.80E-22
    Q         18     1639.201  61005.32  61005.39    0.07    2.85E-08  6.80E-22
    Q         19     1639.825  60982.1   60982.24    0.14    2.85E-08  6.80E-22
    Q         20     1640.486  60957.53  60957.76    0.23    2.80E-08  6.70E-22
